CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_17	Server connection interrupted	伺服器連線中斷	サーバー接続が中断されました	Conexión al servidor interrumpida	Muunganisho wa seva umekatizwa	Serverforbindelse afbrudt	การเชื่อมต่อเซิร์ฟเวอร์ถูกขัดจังหวะ	Koneksi server terputus	Kết nối máy chủ bị gián đoạn	Conexão do servidor interrompida	서버 연결이 중단되었습니다	ဆာဗာချိတ်ဆက်မှု ပြတ်တောက်သွားသည်။
L_18	Language	語言	言語	Idioma	Lugha	Sprog	ภาษา	Bahasa	Ngôn ngữ	Linguagem	언어	ဘာသာစကား
L_19	Translate	翻譯	翻訳する	Traducir	Tafsiri	Oversætte	แปล	Menerjemahkan	Dịch	Traduzir	번역하다	ဘာသာပြန်ပါ။
L_20	Showcase	展示	ショーケース	Escaparate	Maonyesho	Udstillingsvindue	ตู้โชว์	Memamerkan	Trưng bày	Vitrine	유리 진열장	ရှိုးကေ့
L_21	If you see [][][][][] on chinese or  special languages, do the following... /Search  for "TMP Settings"on your browser /Add  NatoSansKR,NatoSansMyanr,NatoSansTC and NatoSansThai to the "FallBack Font Assets" on "TMP Settings.	如果您在中文或特殊語言中看到 [][][][][]，請執行以下操作.../在瀏覽器中搜尋「TMP 設定」/將 NatoSansKR、NatoSansMyanr、NatoSansTC 和 NatoSansThai 新增至「TMP 設定」上的「後備字體資產」。	中国語または特殊言語で [][][][][] が表示される場合は、次の操作を行ってください... /ブラウザで「TMP 設定」を検索します /「TMP 設定」の「フォールバック フォント アセット」に NatoSansKR、NatoSansMyanr、NatoSansTC、および NatoSansThai を追加します。	Si ve [][][][][] en chino o idiomas especiales, haga lo siguiente... / Busque "Configuración TMP" en su navegador / Agregue NatoSansKR, NatoSansMyanr, NatoSansTC y NatoSansThai a "Recursos de fuentes de respaldo" en "Configuración TMP".	Ukiona [][][][][][] kwenye Kichina au lugha maalum, fanya yafuatayo... /Tafuta "Mipangilio ya TMP" kwenye kivinjari chako /Ongeza NatoSansKR,NatoSansMyanr,NatoSansTC na NatoSansThai kwenye "FallBack Font Assets" kwenye "TMP Settings.	Hvis du ser [][][][][] på kinesisk eller specialsprog, gør følgende... /Søg efter "TMP-indstillinger" i din browser /Tilføj NatoSansKR,NatoSansMyanr,NatoSansTC og NatoSansThai til "FallBack Font Assets" på "TMP-indstillinger.	หากคุณเห็น [][][][][] ในภาษาจีนหรือภาษาพิเศษ ให้ทำดังต่อไปนี้... / ค้นหา "การตั้งค่า TMP" บนเบราว์เซอร์ของคุณ / เพิ่ม NatoSansKR, NatoSansMyanr, NatoSansTC และ NatoSansThai ลงใน "ทรัพยากรฟอนต์สำรอง" บน "การตั้งค่า TMP"	Jika Anda melihat [][][][][][] pada bahasa Mandarin atau bahasa khusus, lakukan hal berikut... /Cari "Pengaturan TMP" pada peramban Anda /Tambahkan NatoSansKR, NatoSansMyanr, NatoSansTC, dan NatoSansThai ke "Aset Font FallBack" pada "Pengaturan TMP".	Nếu bạn thấy [][][][][] bằng tiếng Trung hoặc ngôn ngữ đặc biệt, hãy thực hiện như sau... /Tìm kiếm "Cài đặt TMP" trên trình duyệt của bạn /Thêm NatoSansKR, NatoSansMyanr, NatoSansTC và NatoSansThai vào "Tài sản phông chữ dự phòng" trên "Cài đặt TMP.	Se você vir [][][][][] em chinês ou idiomas especiais, faça o seguinte... /Pesquise por "Configurações TMP" no seu navegador /Adicione NatoSansKR, NatoSansMyanr, NatoSansTC e NatoSansThai aos "FallBack Font Assets" em "Configurações TMP".	중국어 또는 특수 언어에서 [][][][][]가 표시되면 다음을 수행하세요... /브라우저에서 "TMP 설정"을 검색하세요. /"TMP 설정"의 "FallBack Font Assets"에 NatoSansKR, NatoSansMyanr, NatoSansTC 및 NatoSansThai를 추가하세요.	တရုတ် သို့မဟုတ် အထူးဘာသာစကားများတွင် [][][][][] ကို သင်တွေ့ပါက၊ အောက်ပါတို့ကို လုပ်ဆောင်ပါ... /သင်၏ဘရောက်ဆာတွင် "TMP ဆက်တင်များ" ကိုရှာပါ / Add NatoSansKR၊ NatoSansMyanr၊ NatoSansTC နှင့် NatoSansThai တို့ကို "FallBack Font Assets" တွင် "TMP ဆက်တင်များ" တွင် ရှာဖွေပါ။
L_22	Feature Demo Playing	功能演示播放	機能デモ再生	Demostración de funciones en reproducción	Kipengele Demo Kucheza	Feature Demo Playing	การเล่นเดโม่คุณสมบัติ	Fitur Demo Bermain	Tính năng Demo Chơi	Demonstração de recursos em execução	기능 데모 재생	သရုပ်ပြကစားခြင်း လုပ်ဆောင်ချက်
L_23	After the  golden pocker wins, it will turn into wild in the same place	親金扑克、翻转百搭连线最大奖 	ゴールデンポーカーが勝利すると、同じ場所でワイルドに変わります	Después de que el pocker dorado gane, se convertirá en comodín en el mismo lugar.	Baada ya pocker ya dhahabu kushinda, itageuka kuwa pori mahali pale pale	Efter den gyldne pocker vinder, det bliver til vildt samme sted	หลังจากที่โป๊กเกอร์ทองชนะแล้ว มันจะกลายเป็นไวลด์ที่เดิม	Setelah poker emas menang, ia akan berubah menjadi liar di tempat yang sama	Sau khi pocker vàng thắng, nó sẽ chuyển thành wild ở cùng một nơi	Depois que o Golden Poker vencer, ele se tornará Wild no mesmo lugar	골든 포커가 승리하면 같은 장소에서 와일드로 변합니다.	ရွှေအိတ်ကပ်အနိုင်ရပြီးနောက်၊ တစ်နေရာတည်းမှာ တောရိုင်းဖြစ်သွားလိမ့်မယ်။
L_24	Getting more combos will lead to a higher multiplier.	消除氣堂、combo越多、倍率越高	コンボが増えると乗数が高くなります。	Obtener más combos dará como resultado un multiplicador más alto.	Kupata michanganyiko zaidi kutapelekea kizidishaji cha juu zaidi.	At få flere kombinationer vil føre til en højere multiplikator.	การได้รับคอมโบมากขึ้นจะนำไปสู่ตัวคูณที่สูงขึ้น	Mendapatkan lebih banyak kombo akan menghasilkan pengali yang lebih tinggi.	Có được nhiều combo hơn sẽ dẫn đến hệ số nhân cao hơn.	Conseguir mais combos resultará em um multiplicador maior.	콤보가 많을수록 승수도 높아집니다.	ပေါင်းစည်းမှုများ ပိုမိုရယူခြင်းသည် ပိုမိုများပြားသော မြှောက်ကိန်းကို ဦးတည်စေမည်ဖြစ်သည်။
L_25	Loading....	资料载入中! 	読み込み中....	Cargando....	Inapakia....	Indlæser...	กำลังโหลด....	Memuat....	Đang tải....	Carregando....	로딩중....	တင်နေသည်....
L_26	Continue	继续	続く	Continuar	Endelea	Fortsætte	ดำเนินการต่อ	Melanjutkan	Tiếp tục	Continuar	계속하다	ဆက်ရန်
L_27	Don't show next time	下次不要显示	次回は表示しない	No mostrar la próxima vez	Usionyeshe wakati ujao	Vis ikke næste gang	อย่าแสดงครั้งต่อไป	Jangan tampilkan lain kali	Không hiển thị lần sau	Νέο πουtar a pidoma vaz 	다음에는 보여주지 마세요	နောက်တစ်ကြိမ် မပြပါနှင့်
L_28	Load high quality next time	下次加載高品質	次回は高画質で読み込みます	La próxima vez cargue en alta calidad	Pakia ubora wa juu wakati ujao	Indlæs høj kvalitet næste gang	โหลดคุณภาพสูงในครั้งต่อไป	Muat kualitas tinggi lain kali	Tải chất lượng cao lần sau	Carregue alta qualidade na próxima vez	다음에는 고화질로 불러오세요	နောက်တစ်ကြိမ် အရည်အသွေးမြင့်တင်ပါ။
L_29	FREE SPIN	免費旋轉	フリースピン	GIRO GRATIS	SPIN BURE	GRATIS SPIN	สปินฟรี	PUTARAN GRATIS	VÒNG QUAY MIỄN PHÍ	RODADA GRÁTIS	무료 스핀	အခမဲ့လှည့်ပါ။
L_30	c	c	c	do	c	c	ซี	C	c	c	기음	ဂ
L_31	o	b	o	o	o	o	โอ้	Hai	ôi	o	영형	o
L_32	m	m	メートル	metro	m	m	ม.	M	tôi	m	중	ဍ
L_33	b	b	b	b	b	b	บี	B	b	b	비	ခ
L_34	o	o	o	o	o	o	โอ้	Hai	ôi	o	영형	o
L_35	Feature Demo Playing	功能演示播放	機能デモ再生	Demostración de funciones en reproducción	Kipengele Demo Kucheza	Feature Demo Playing	การเล่นเดโม่คุณสมบัติ	Fitur Demo Bermain	Tính năng Demo Chơi	Demonstração de recursos em execução	기능 데모 재생	သရုပ်ပြကစားခြင်း လုပ်ဆောင်ချက်
L_36	jili	jili	ジリ	Jili	jili	jili	จิลี่	jili	jili	jili	질리	ဂျလီ
L_37	Demo win	演示獲勝	デモ勝利	Demo win	Ushindi wa demo	Demo vinder	ชนะการสาธิต	Kemenangan demo	Chiến thắng bản demo	Vitória de demonstração	데모 승리	ဒီမိုအနိုင်ရ
L_38	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	วี_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043
L_39	Golden Card	黄金扑克牌 	ゴールデンカード	Tarjeta dorada	Kadi ya Dhahabu	Gyldent kort	การ์ดสีทอง	Kartu Emas	Thẻ Vàng	Carta Dourada	골든 카드	ရွှေကတ်
L_40	1.“Golden Card” will only appear \n    at reels 2, 3, and 4.\n2."Golden Symbol" will flip and\n    transform to "Joker Symbol" after \n    elimination.\n3."Golden Symbol" substitutes for \n    the "Normal symbol" pays and \n    eliminates.	1.「黄金扑克牌」仅会在第2、3、4轮出现。 \n 2.「黃金扑克牌」与「普通扑克牌」可视为相同图案,消除进行对奖。 \n 3.「黃金扑克牌」被消除时,会在原位置翻转,变成「小丑鬼牌」 	1.「ゴールデン カード」はリール 2、3、4 にのみ表示されます。\n2.「ゴールデン シンボル」は反転し、消滅後に「ジョーカー シンボル」に変化します。\n3.「ゴールデン シンボル」は「通常シンボル」の代わりに使用され、消滅します。	1. La "Tarjeta Dorada" solo aparecerá en los carretes 2, 3 y 4. 2. El "Símbolo Dorado" se volteará y se transformará en un "Símbolo Joker" después de la eliminación. 3. El "Símbolo Dorado" sustituye al "Símbolo Normal", paga y elimina.	1.“Golden Card” itaonekana tu \n kwenye reli 2, 3, na 4.\n2."Alama ya Dhahabu" itageuka na\n kubadilika kuwa "Alama ya Joker" baada ya \n kuondolewa.\n3."Alama ya Dhahabu" mbadala za \n "Alama ya Kawaida" inalipa na \n kuondoa.	1."Golden Card" vises kun \n på hjul 2, 3 og 4.\n2."Golden Symbol" vil vende og\n omdannes til "Joker Symbol" efter \n eliminering.\n3."Golden Symbol" erstatter \n "Det normale symbol" betaler og \n eliminerer.	1.“ไพ่ทองคำ” จะปรากฏที่รีล 2, 3 และ 4 เท่านั้น\n2.“สัญลักษณ์ทองคำ” จะพลิกและ\n เปลี่ยนเป็น “สัญลักษณ์โจ๊กเกอร์” หลังจาก\nถูกคัดออก\n3.“สัญลักษณ์ทองคำ” แทนที่\nการจ่ายเงินรางวัลของ “สัญลักษณ์ปกติ” และ\nถูกคัดออก	1. "Kartu Emas" hanya akan muncul di gulungan 2, 3, dan 4. 2. "Simbol Emas" akan berbalik dan berubah menjadi "Simbol Joker" setelah eliminasi. 3. "Simbol Emas" menggantikan "Simbol Normal" dan membayar serta eliminasi.	1. “Thẻ vàng” chỉ xuất hiện \n ở guồng 2, 3 và 4.\n2."Biểu tượng vàng" sẽ lật và\n biến thành "Biểu tượng Joker" sau khi \n loại bỏ.\n3."Biểu tượng vàng" thay thế cho \n "Biểu tượng bình thường" trả thưởng và \n loại bỏ.	1. A "Carta Dourada" só aparecerá nas \n bobinas 2, 3, e 4.\n 2. Quando uma "Carta Dourada" é \n eliminada, ela irá virar em sua \n posição original e se tornará uma \n"Carta Coringa".\n 3. A "Carta Dourada" e a "Carta \n Normal" podem ser vistas como o \n mesmo padrão, eliminadas com \n acertos.\n	1. "골든 카드"는 릴 2, 3, 4에만 나타납니다. 2. "골든 심볼"은 제거 후 뒤집히고 "조커 심볼"로 변형됩니다. 3. "골든 심볼"은 "일반 심볼"을 대체하여 지불하고 제거합니다.	1.“Golden Card” သည် \n reels 2၊ 3၊ နှင့် 4 တွင်သာ ပေါ်လာပါမည်။\n2.ရွှေသင်္ကေတ" သည် \nဖယ်ရှားပြီးနောက် "Joker Symbol" အဖြစ်သို့ ပြောင်းလဲသွားပါမည်။\n3"ရွှေသင်္ကေတ" ကို \n "သာမန်သင်္ကေတ" နှင့် \n အစားထိုးမှုများကို ဖယ်ရှားပါသည်။
L_41	Joker Card	小丑鬼牌 	ジョーカーカード	Carta Joker	Kadi ya Joker	Joker kort	ไพ่โจ๊กเกอร์	Kartu Joker	Lá bài Joker	Carta Coringa	조커 카드	ဂျိုကာကတ်
L_42	1.The "Joker Symbol" only transform \n    from "Golden Symbol" of \n    elimination.\n2. The “Joker Card” comes in two\n    modes: “Big Joker Card” and \n    “Little Joker Card”.\n3. Landing the "Big Joker Symbol", \n    it will replace 1 to 4 number of \n    symbols (Except the Scatter \n    and Joker Symbol)randomly\n    pick on reel 2 to 5 by "Big Joker \n    Symbol".\n4. Landing the "Little Joker Symbol",\n    The "Golden Symbol" transform \n    to"Joker Symbol" only.\n 5. "Joker Symbol" substitutes for all\n    symbols except Scatter.	1 .「小丑鬼牌」仅能透过消除「黄金扑克牌」后,才会出现。 \n 2.「小丑鬼牌」分为“大鬼牌」、「小鬼牌」两种模式。 \n 3.『大鬼牌。出现后,原「黃金扑克牌」位置变成「大鬼牌」,并随机复制「大鬼牌」取代其他符号\n  4.『小鬼牌』出现后,仅「黄金扑克牌」原位置会变成「小鬼牌』。\n  5.「小丑鬼牌」等同于百搭符号,可代薯除Scatter以外,所有其他符号。 	1.「ジョーカーシンボル」は、\n除去の「ゴールデンシンボル」からのみ変換されます。\n2.「ジョーカーカード」には、「ビッグジョーカーカード」と「リトルジョーカーカード」の2つのモードがあります。\n3.「ビッグジョーカーシンボル」が出現すると、リール2～5でランダムに選ばれた1～4個のシンボル（スキャッターとジョーカーシンボルを除く）が「ビッグジョーカーシンボル」に置き換えられます。\n4.「リトルジョーカーシンボル」が出現すると、「ゴールデンシンボル」は「ジョーカーシンボル」にのみ変換されます。\n5.「ジョーカーシンボル」は、スキャッターを除くすべてのシンボルの代わりになります。	1. El símbolo de Joker solo se transforma en símbolo dorado en caso de eliminación. 2. El Joker viene en dos modalidades: Joker grande y Joker pequeño. 3. Al obtener el Joker grande, este reemplazará de 1 a 4 símbolos (excepto el Scatter y el Joker) aleatoriamente en los rodillos 2 a 5 por el Joker grande. 4. Al obtener el Joker pequeño, el símbolo dorado se transforma únicamente en Joker. 5. El Joker sustituye a todos los símbolos excepto al Scatter.	1. "Alama ya Joker" hubadilisha tu \n kutoka "Alama ya Dhahabu" ya \n kuondoa.\n2. “Joker Card” inakuja katika hali mbili\n: “Big Joker Card” na \n “Little Joker Card”.\n3. Inatua "Alama Kubwa ya Kicheshi", \n itachukua nafasi ya nambari 1 hadi 4 ya \n alama (Ila Alama ya Kutawanya \n na Kicheshi) bila mpangilio\n chagua reel 2 hadi 5 kwa "Alama Kubwa ya Joker \n".\n4. Inatua "Alama Ndogo ya Kicheshi",\n "Alama ya Dhahabu" hubadilisha \n kuwa "Alama ya Kicheshi" pekee.\n 5. "Alama ya Kicheshi" mbadala za alama\n zote isipokuwa Scatter.	1. "Joker Symbol" transformerer kun \n fra "Golden Symbol" for \n eliminering.\n2. "Joker Card" kommer i to\n tilstande: "Big Joker Card" og \n "Little Joker Card".\n3. Lander "Big Joker Symbol", \n vil det erstatte 1 til 4 antal \n symboler (undtagen Scatter \n og Joker Symbol) tilfældigt\n vælg på hjul 2 til 5 med "Big Joker \n Symbol".\n4. Lander "Lille Joker Symbol",\n Det "Gyldne Symbol" transformerer \n kun til "Joker Symbol".\n 5. "Joker Symbol" erstatter alle\n symboler undtagen Scatter.	1. "สัญลักษณ์โจ๊กเกอร์" จะแปลงจาก "สัญลักษณ์ทองคำ" ของรอบคัดเลือกเท่านั้น 2. "ไพ่โจ๊กเกอร์" มี 2 โหมด ได้แก่ "ไพ่โจ๊กเกอร์ตัวใหญ่" และ "ไพ่โจ๊กเกอร์ตัวเล็ก" 3. เมื่อได้ "สัญลักษณ์โจ๊กเกอร์ตัวใหญ่" สัญลักษณ์จะแทนที่สัญลักษณ์ 1 ถึง 4 ตัว (ยกเว้นสัญลักษณ์สแคทเตอร์และสัญลักษณ์โจ๊กเกอร์) แบบสุ่มบนรีล 2 ถึง 5 ด้วย "สัญลักษณ์โจ๊กเกอร์ตัวใหญ่" 4. เมื่อได้ "สัญลักษณ์โจ๊กเกอร์ตัวเล็ก" สัญลักษณ์ทองคำจะแปลงเป็น "สัญลักษณ์โจ๊กเกอร์" เท่านั้น 5. "สัญลักษณ์โจ๊กเกอร์" แทนที่สัญลักษณ์ทั้งหมด ยกเว้นสแคทเตอร์	1. "Simbol Joker" hanya berubah dari "Simbol Emas" dari eliminasi. 2. "Kartu Joker" hadir dalam dua mode: "Kartu Joker Besar" dan "Kartu Joker Kecil". 3. Jika muncul "Simbol Joker Besar", maka akan menggantikan 1 hingga 4 simbol (Kecuali Scatter dan Simbol Joker) secara acak pada gulungan 2 hingga 5 dengan "Simbol Joker Besar". 4. Jika muncul "Simbol Joker Kecil", maka "Simbol Emas" akan berubah menjadi "Simbol Joker" saja. 5. "Simbol Joker" menggantikan semua simbol kecuali Scatter.	1. "Biểu tượng Joker" chỉ chuyển đổi \n từ "Biểu tượng vàng" của \n loại trừ.\n2. "Thẻ Joker" có hai chế độ\n: "Thẻ Joker lớn" và \n "Thẻ Joker nhỏ".\n3. Khi hạ cánh "Biểu tượng Joker lớn", \n nó sẽ thay thế 1 đến 4 biểu tượng \n (Ngoại trừ Biểu tượng Scatter \n và Biểu tượng Joker) một cách ngẫu nhiên\n chọn trên cuộn 2 đến 5 bằng "Biểu tượng Joker lớn \n".\n4. Khi hạ cánh "Biểu tượng Joker nhỏ", \n "Biểu tượng vàng" chỉ chuyển đổi \n thành "Biểu tượng Joker".\n5. "Biểu tượng Joker" thay thế cho tất cả\n biểu tượng ngoại trừ Scatter.	1. A "Carta Coringa" só aparecerá \n depois que uma "Carta Dourada" for \n eliminada. \n 2. A "Carta Coringa" vem em duas \n modalidades: "Carta Coringa  \n Grande" e "Carta Coringa Pequena". \n  3. Quando a "Carta Coringa Grande" \n aparecer, a posição original da \n "Carta Dourada" se tornará uma \n "Carta Coringa Grande", e a "Carta  \n Coringa Grande" será replicada \n aleatoriamente e substituirá os \n outros símbolos.\n 4. Quando a "Carta Coringa Pequena" \n aparecer, somente a posição original \n da "Carta Dourada" se tornará uma \n "Carta Coringa Pequena".\n 5. Uma "Carta Coringa" é equivalente a \n um símbolo Coringa, o que significa \n que ele pode substituir qualquer \n outro símbolo, exceto o Scatter.\n 	1. "조커 심볼"은 제거 시 "골든 심볼"로만 변환됩니다. 2. "조커 카드"는 "빅 조커 카드"와 "리틀 조커 카드"의 두 가지 모드로 제공됩니다. 3. "빅 조커 심볼"이 나오면 릴 2~5에서 무작위로 선택된 1~4개의 심볼(스캐터 심볼과 조커 심볼 제외)을 "빅 조커 심볼"로 대체합니다. 4. "리틀 조커 심볼"이 나오면 "골든 심볼"은 "조커 심볼"로만 변환됩니다. 5. "조커 심볼"은 스캐터를 제외한 모든 심볼을 대체합니다.	1. "Joker Symbol" သည် \n ဖယ်ရှားခြင်း၏ "Golden Symbol" မှသာလျှင် ပြောင်းလဲပါသည်။\n2။ “Joker Card” တွင်\nမုဒ်နှစ်ခုရှိသည်- “Big Joker Card” နှင့် \n “Little Joker Card”။\n၃။ "Big Joker သင်္ကေတ" ကို ဆင်းသက်ခြင်း \n ၎င်းသည် \n သင်္ကေတ နံပါတ် 1 မှ 4 အထိ အစားထိုးမည် (Scatter \n နှင့် Joker သင်္ကေတမှလွဲ၍) ကျပန်း\n "Big Joker \n Symbol" ဖြင့် ရီလာ 2 မှ 5 ကို ရွေးပါ\n4။ "Little Joker Symbol",\n "Golden Symbol" ကို \n "Joker Symbol" ကိုသာ ပြောင်းလဲလိုက်ပါ။\n 5. Scatter မှလွဲ၍ \n သင်္ကေတအားလုံးအတွက် "Joker Symbol" ကို အစားထိုးမှုများ။
L_43	Combo Multiplier	消除乘倍 	コンボ乗数	Multiplicador combinado	Mchanganyiko wa Kuzidisha	Combo multiplikator	ตัวคูณคอมโบ	Pengganda Kombo	Hệ số nhân kết hợp	Multiplicador de Eliminação	콤보 멀티플라이어	ပေါင်းစပ်ကိန်းဂဏန်း
