CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_16	Confirm	確認	確認する	Confirmar	Thibitisha	Bekræfte	ยืนยัน	Mengonfirmasi	Xác nhận	Confirmar	확인하다	အတည်ပြုပါ။
L_17	Server connection interrupted	伺服器連線中斷	サーバー接続が中断されました	Conexión del servidor interrumpida	Muunganisho wa seva umekatizwa	Serverforbindelse afbrudt	การเชื่อมต่อเซิร์ฟเวอร์ถูกขัดจังหวะ	Koneksi server terputus	Kết nối máy chủ bị gián đoạn	Conexão do servidor interrompida	서버 연결이 중단되었습니다	ဆာဗာချိတ်ဆက်မှု ပြတ်တောက်သွားသည်။
L_18	Language	語言	言語	Idioma	Lugha	Sprog	ภาษา	Bahasa	Ngôn ngữ	Linguagem	언어	ဘာသာစကား
L_19	Translate	翻譯	翻訳する	Traducir	Tafsiri	Oversætte	แปล	Menerjemahkan	Dịch	Traduzir	번역하다	ဘာသာပြန်ပါ။
L_20	Showcase	展示櫃	ショーケース	Escaparate	Onyesho	Udstillingsvindue	ตู้โชว์	Memamerkan	trưng bày	Vitrine	유리 진열장	ရှိုးကေ့
L_21	If you see [][][][][] on chinese or  special languages, do the following... /Search  for "TMP Settings"on your browser /Add  NatoSansKR,NatoSansMyanr,NatoSansTC and NatoSansThai to the "FallBack Font Assets" on "TMP Settings.	如果您在中文或特殊語言上看到 [][][][][]，請執行以下操作... /在瀏覽器上搜尋「TMP 設定」 /將 NatoSansKR、NatoSansMyanr、NatoSansTC 和 NatoSansThai 新增至「TMP 設定」上的「後備字體資源」。	中国語または特殊な言語で [][][][][] が表示される場合は、次の操作を行ってください... /ブラウザで「TMP 設定」を検索 /「TMP 設定」の「FallBack Font Assets」に NatoSansKR、NatoSansMyanr、NatoSansTC、および NatoSansThai を追加します。	Si ve [][][][][] en chino o en idiomas especiales, haga lo siguiente... /Busque "Configuración de TMP" en su navegador /Agregue NatoSansKR, NatoSansMyanr, NatoSansTC y NatoSansThai a los "Activos de fuentes alternativas" en "Configuración de TMP.	Ukiona [][][][][][] kwenye Kichina au lugha maalum, fanya yafuatayo... /Tafuta "Mipangilio ya TMP" kwenye kivinjari chako /Ongeza NatoSansKR,NatoSansMyanr,NatoSansTC na NatoSansThai kwenye "FallBack Font Assets" kwenye "TMP Settings.	Hvis du ser [][][][][] på kinesisk eller specialsprog, skal du gøre følgende... /Søg efter "TMP-indstillinger" på din browser /Tilføj NatoSansKR,NatoSansMyanr,NatoSansTC og NatoSansThai til "FallBack Font Assets" på "TMP-indstillinger.	หากคุณเห็น [][][][][] ในภาษาจีนหรือภาษาพิเศษ ให้ทำดังต่อไปนี้... /ค้นหา "การตั้งค่า TMP" บนเบราว์เซอร์ของคุณ /เพิ่ม NatoSansKR,NatoSansMyanr,NatoSansTC และ NatoSansThai ลงใน "FallBack Font Assets" บน "การตั้งค่า TMP	Jika Anda melihat [][][][][] dalam bahasa Mandarin atau bahasa khusus, lakukan hal berikut... /Cari "Pengaturan TMP" di browser Anda /Tambahkan NatoSansKR,NatoSansMyanr,NatoSansTC dan NatoSansThai ke "Aset Font FallBack" di "Pengaturan TMP.	Nếu bạn thấy [[][][][] trên tiếng Trung hoặc các ngôn ngữ đặc biệt, hãy làm như sau... /Tìm kiếm "Cài đặt TMP" trên trình duyệt của bạn /Thêm NatoSansKR,NatoSansMyanr,NatoSansTC và NatoSansThai vào "Tài sản phông chữ dự phòng" trên "Cài đặt TMP.	Se você vir [][][][][] em chinês ou idiomas especiais, faça o seguinte... /Procure por "Configurações TMP" em seu navegador /Adicione NatoSansKR,NatoSansMyanr,NatoSansTC e NatoSansThai aos "Ativos de fonte FallBack" em "Configurações TMP.	중국어 또는 특수 언어로 [][][][][]가 표시되면 다음을 수행하십시오... /브라우저에서 "TMP 설정"을 검색합니다. /NatoSansKR,NatoSansMyanr,NatoSansTC 및 NatoSansThai를 "TMP 설정"의 "FallBack Font Assets"에 추가합니다.	တရုတ် သို့မဟုတ် အထူးဘာသာစကားများတွင် [][][][][] ကို သင်တွေ့ပါက၊ အောက်ပါတို့ကို လုပ်ဆောင်ပါ... /သင်၏ဘရောက်ဆာတွင် "TMP ဆက်တင်များ" ကိုရှာပါ / Add NatoSansKR၊ NatoSansMyanr၊ NatoSansTC နှင့် NatoSansThai တို့ကို "FallBack Font Assets" တွင် "TMP ဆက်တင်များ" တွင် ရှာဖွေပါ။
L_22	Feature Demo Playing	功能演示播放	機能デモの再生	Función de demostración jugando	Kipengele Demo Kucheza	Feature Demo Playing	การเล่นสาธิตคุณสมบัติ	Fitur Pemutaran Demo	Tính năng Demo Chơi	Reprodução de demonstração de recursos	기능 데모 재생	သရုပ်ပြကစားခြင်း လုပ်ဆောင်ချက်
L_23	After the  golden pocker wins, it will turn into wild in the same place	金撲克獲勝後， 它會在同一個地方變成野生的	ゴールデンポッカーが勝った後、 同じ場所で野生化するだろう	Después de que gane la ficha dorada, se volverá salvaje en el mismo lugar	Baada ya pocker ya dhahabu kushinda, itageuka kuwa pori mahali pale pale	Efter den gyldne pocker vinder, det bliver til vildt samme sted	หลังจากที่โกลเด้นป๊อกเกอร์ชนะ มันก็จะกลายเป็นป่าในที่เดียวกัน	Setelah pocker emas menang, itu akan berubah menjadi liar di tempat yang sama	Sau khi người chơi vàng thắng, nó sẽ trở nên hoang dã ở cùng một nơi	Depois que o pocker de ouro vencer, vai virar selvagem no mesmo lugar	골든 포커가 승리한 후, 같은 곳에서 야생으로 변할 거야	ရွှေအိတ်ကပ်အနိုင်ရပြီးနောက်၊ တစ်နေရာတည်းမှာ တောရိုင်းဖြစ်သွားလိမ့်မယ်။
L_24	Getting more combos will lead to a higher multiplier.	獲得更多連擊 將帶來更高的乘數。	より多くのコンボを獲得する より高い倍率につながります。	Obteniendo más combos conducirá a un multiplicador más alto.	Kupata mchanganyiko zaidi itasababisha kuzidisha kwa juu.	Får flere kombinationer vil føre til en højere multiplikator.	รับคอมโบมากขึ้น จะนำไปสู่ตัวคูณที่สูงขึ้น	Mendapatkan lebih banyak kombo akan menghasilkan pengganda yang lebih tinggi.	Nhận thêm combo sẽ dẫn tới hệ số nhân cao hơn.	Obtendo mais combos levará a um multiplicador maior.	더 많은 콤보 얻기 더 높은 승수로 이어질 것입니다.	ပေါင်းစပ်မှုများ ပိုမိုရယူပါ။ ပိုမြင့်တဲ့ မြှောက်ကိန်းကို ဖြစ်ပေါ်စေလိမ့်မယ်။
L_25	Loading....	載入中....	読み込み中....	Cargando....	Inapakia....	Indlæser...	กำลังโหลด....	Memuat....	Đang tải....	Carregando....	로드 중....	တင်နေသည်....
L_26	Continue	繼續	続く	Continuar	Endelea	Fortsætte	ดำเนินการต่อ	Melanjutkan	Tiếp tục	Continuar	계속하다	ဆက်ရန်
L_27	Don't show next time	下次不再顯示	次回は表示しないでください	No mostrar la próxima vez	Usionyeshe wakati ujao	Vis ikke næste gang	อย่าแสดงครั้งต่อไป	Jangan tampilkan lain kali	Đừng hiển thị lần sau	Não mostre da próxima vez	다음번에는 표시하지 않음	နောက်တစ်ကြိမ် မပြပါနှင့်
L_28	Load high quality next time	下次加載高品質	次回は高品質で読み込みます	Cargue alta calidad la próxima vez	Pakia ubora wa juu wakati ujao	Indlæs høj kvalitet næste gang	โหลดคุณภาพสูงในครั้งต่อไป	Muat kualitas tinggi lain kali	Tải chất lượng cao vào lần sau	Carregue alta qualidade na próxima vez	다음번에는 고화질 로드	နောက်တစ်ကြိမ် အရည်အသွေးမြင့်တင်ပါ။
L_29	FREE SPIN	免費旋轉	フリースピン	GIRO GRATIS	SPIN BURE	GRATIS SPIN	หมุนฟรี	PUTAR GRATIS	VÒNG QUAY MIỄN PHÍ	GIRO GRÁTIS	무료 스핀	အခမဲ့လှည့်ပါ။
L_30	c	c	c	do	c	c	ค	C	c	c	기음	ဂ
L_31	o	哦	ああ	oh	o	o	โอ	Hai	ồ	ó	영형	o
L_32	m	米	メートル	metro	m	m	ม	M	tôi	eu	중	ဍ
L_33	b	乙	b	b	b	b	ข	B	b	b	비	ခ
L_34	o	哦	ああ	oh	o	o	โอ	Hai	ồ	ó	영형	o
L_35	Feature Demo Playing	功能演示播放	機能デモの再生	Función de demostración jugando	Kipengele Demo Kucheza	Feature Demo Playing	การเล่นสาธิตคุณสมบัติ	Fitur Pemutaran Demo	Tính năng Demo Chơi	Reprodução de demonstração de recursos	기능 데모 재생	သရုပ်ပြကစားခြင်း လုပ်ဆောင်ချက်
L_36	jili	吉利	吉里	jili	jili	jili	จิลี่	jili	cát li	jili	질리	ဂျလီ
L_37	Demo win	演示獲勝	デモでの勝利	Victoria de demostración	Ushindi wa demo	Demo vinder	ชนะการสาธิต	Demo menang	Demo chiến thắng	Vitória na demonstração	데모 승리	ဒီမိုအနိုင်ရ
L_38	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043	V_175_0043
L_39	Golden Card	金卡	ゴールデンカード	Tarjeta Dorada	Kadi ya Dhahabu	Gyldent kort	บัตรทอง	Kartu Emas	Thẻ Vàng	Cartão Dourado	골든 카드	ရွှေကတ်
L_40	1.“Golden Card” will only appear      at reels 2, 3, and 4. 2."Golden Symbol" will flip and      transform to "Joker Symbol" after      elimination. 3."Golden Symbol" substitutes for     the "Normal symbol" pays and     eliminates.	1.「金卡」只會出現     在捲軸 2、3 和 4 處。 2.“金色符號”會翻轉並     之後變身為“小丑符號”     消除。 3.“黃金符號”替代    “正常符號”支付並且    消除。	1.「ゴールデンカード」のみ登場      リール2、3、4で。 2.「金色のシンボル」が反転し、      後は「ジョーカーシンボル」に変身      排除。 3.「ゴールデンシンボル」の代替品     「通常のシンボル」は支払いを行い、     を排除します。	1.La “Tarjeta Dorada” solo aparecerá      en los carretes 2, 3 y 4. 2. El "Símbolo Dorado" se volteará y      transformarse en "Símbolo Joker" después      eliminación. 3. El "Símbolo Dorado" sustituye a     el "símbolo normal" paga y     elimina.	1. "Golden Card" itaonekana tu      kwenye reli 2, 3, na 4. 2."Alama ya Dhahabu" itapinduka na      badilisha kuwa "Alama ya Joker" baada ya      kuondoa. 3 "Alama ya Dhahabu" mbadala za     "Alama ya kawaida" hulipa na     hupunguza.	1. "Golden Card" vises kun      på hjul 2, 3 og 4. 2."Golden Symbol" vil vende og      transformer til "Joker Symbol" efter      eliminering. 3 "Gyldent Symbol" erstatter     "Normal symbol" betaler og     eliminerer.	1. “บัตรทอง” จะปรากฏขึ้นเท่านั้น      ที่วงล้อที่ 2, 3 และ 4 2."สัญลักษณ์ทอง" จะพลิกและ      แปลงร่างเป็น "สัญลักษณ์โจ๊กเกอร์" หลังจากนั้น      การกำจัด 3. "สัญลักษณ์ทองคำ" ทดแทน     “สัญลักษณ์ปกติ” จ่ายและ     กำจัด	1. “Kartu Emas” hanya akan muncul      di gulungan 2, 3, dan 4. 2."Simbol Emas" akan terbalik dan      ubah menjadi "Simbol Joker" setelahnya      eliminasi. 3."Simbol Emas" pengganti     "Simbol normal" membayar dan     menghilangkan.	1.“Thẻ vàng” sẽ chỉ xuất hiện      ở các cuộn 2, 3 và 4. 2."Biểu tượng vàng" sẽ lật và      chuyển đổi thành "Biểu tượng Joker" sau      sự loại bỏ. 3. "Biểu tượng vàng" thay thế cho     "Biểu tượng bình thường" trả tiền và     loại bỏ.	1. “Cartão Dourado” só aparecerá      nos rolos 2, 3 e 4. 2."Símbolo Dourado" irá virar e      transforme-se em "Símbolo Joker" depois      eliminação. 3. O "Símbolo Dourado" substitui     o "símbolo Normal" paga e     elimina.	1.“골든 카드”만 나타납니다.      릴 2, 3, 4에서. 2."황금 기호"가 뒤집어지고      이후 '조커 심볼'로 변신      제거. 3. "황금 기호"는 다음을 대체합니다.     "일반 기호"가 지불되고     제거합니다.	1.“Golden Card” ပေါ်လာပါမည်။      reels 2၊ 3 နှင့် 4 တွင်။ 2"Golden Symbol" သည် လှန်လိုက်ပါမည်။      ပြီးနောက် "Joker Symbol" သို့ပြောင်းပါ။      နှိမ်နှင်းရေး။ 3"Golden Symbol" ကို အစားထိုးသည်။     "သာမန်သင်္ကေတ" သည် ပေးဆောင်ပြီးဖြစ်သည်။     ဖယ်ရှားပေးသည်။
L_41	Joker Card	小丑卡	ジョーカーカード	Tarjeta comodín	Kadi ya Joker	Joker kort	โจ๊กเกอร์การ์ด	Kartu Pelawak	Thẻ Joker	Carta Coringa	조커 카드	ဂျိုကာကတ်
L_42	1.The "Joker Symbol" only transform      from "Golden Symbol" of      elimination. 2. The “Joker Card” comes in two      modes: “Big Joker Card” and      “Little Joker Card”. 3. Landing the "Big Joker Symbol", it      will replace 1 to 4 number of      symbols (Except the Scatter and     Joker Symbol)randomly pick on      reel 2 to 5 by "Big Joker Symbol". 4. Landing the "Little Joker Symbol",     The "Golden Symbol" transform to      "Joker Symbol" only. 5. "Joker Symbol" substitutes for all     symbols except Scatter.	1.“小丑符號”僅變形     來自“黃金符號”     消除。 2.「小丑卡」有兩張     模式：「大小丑卡」和     「小小丑卡」。 3.登陸“大小丑符號”，它     將替換 1 到 4 個     符號（除了分散和     小丑符號）隨機挑選     「Big Joker Symbol」的捲軸 2 至 5。 4. 登陸“小小丑符號”，     “黃金符號”轉變為     僅“小丑符號”。 5.「小丑符號」取代一切     除分散符號外的符號。	1.「ジョーカーシンボル」のみの変身      『ゴールデンシンボル』より      排除。 2.「ジョーカーカード」は2種類      モード：「ビッグジョーカーカード」と      「リトルジョーカーカード」。 3.「ビッグジョーカーシンボル」が着地すると、      1 ～ 4 の数字を置き換えます      シンボル (スキャッターとシンボルを除く)     ジョーカーシンボル)ランダムに拾う      リール2～5は「ビッグジョーカーシンボル」で。 4.「リトルジョーカーシンボル」を着地させ、     「ゴールデンシンボル」は、      「ジョーカーシンボル」のみ。 5.「ジョーカーシンボル」が全ての代わりとなる     スキャッターを除くシンボル。	1.El "Símbolo Joker" solo se transforma      del "Símbolo Dorado" de      eliminación. 2. La “Tarjeta Joker” viene en dos      modos: “Big Joker Card” y      “Pequeña carta comodín”. 3. Al conseguir el "Símbolo del gran comodín",      reemplazará del 1 al 4 número de      símbolos (excepto el Scatter y el     Símbolo del comodín) elegir aleatoriamente      carrete 2 a 5 por "Big Joker Symbol". 4. Aterrizar el "Pequeño símbolo del comodín",     El "Símbolo Dorado" se transforma en      "Símbolo comodín" únicamente. 5. El "Símbolo Joker" sustituye a todos     símbolos excepto Scatter.	1. "Alama ya Joker" inabadilika tu      kutoka kwa "Alama ya Dhahabu" ya      kuondoa. 2. "Kadi ya Joker" inakuja mbili      modes: "Kadi kubwa ya Joker" na      "Kadi ndogo ya Joker". 3. Kutua "Alama Kubwa ya Joker", it      itachukua nafasi ya 1 hadi 4 nambari ya      alama (isipokuwa Tawanya na     Alama ya Joker) endelea bila mpangilio      reel 2 hadi 5 na "Alama Kubwa ya Joker". 4. Kutua "Alama Ndogo ya Joker",     "Alama ya Dhahabu" inabadilika kuwa      "Alama ya Joker" pekee. 5. "Alama ya Joker" mbadala kwa wote     alama isipokuwa Tawanya.	1. "Joker-symbolet" transformerer kun      fra "Gyldent Symbol" af      eliminering. 2. "Joker-kortet" kommer i to      tilstande: "Big Joker Card" og      "Lille Joker Card". 3. Landing "Big Joker Symbol", det      vil erstatte 1 til 4 antal      symboler (undtagen scatter og     Joker Symbol) tilfældigt vælge på      hjul 2 til 5 af "Big Joker Symbol". 4. Lander "Lille Joker-symbolet",     Det "gyldne symbol" forvandles til      Kun "Joker Symbol". 5. "Joker Symbol" erstatter alle     symboler undtagen Scatter.	1. "สัญลักษณ์โจ๊กเกอร์" จะเปลี่ยนไปเท่านั้น      จาก "สัญลักษณ์ทอง" ของ      การกำจัด 2. “ไพ่โจ๊กเกอร์” มีสองแบบ      โหมด: “บิ๊กโจ๊กเกอร์การ์ด” และ      “การ์ดโจ๊กเกอร์ตัวน้อย” 3. ลงจอด "สัญลักษณ์โจ๊กเกอร์ตัวใหญ่" ได้เลย      จะแทนที่หมายเลข 1 ถึง 4      สัญลักษณ์ (ยกเว้น Scatter และ     สัญลักษณ์โจ๊กเกอร์)สุ่มเลือก      วงล้อ 2 ถึง 5 โดย “สัญลักษณ์โจ๊กเกอร์ใหญ่” 4. ลงจอด "สัญลักษณ์โจ๊กเกอร์ตัวน้อย"     “สัญลักษณ์ทองคำ” แปลงร่างเป็น      "สัญลักษณ์โจ๊กเกอร์" เท่านั้น 5. "สัญลักษณ์โจ๊กเกอร์" ทดแทนทั้งหมด     สัญลักษณ์ยกเว้นกระจาย	1. "Simbol Joker" hanya bertransformasi      dari "Simbol Emas" dari      eliminasi. 2. “Kartu Joker” ada dua      mode: “Kartu Joker Besar” dan      “Kartu Joker Kecil”. 3. Mendaratkan "Simbol Joker Besar", itu      akan menggantikan 1 hingga 4 nomor      simbol (Kecuali Scatter dan     Simbol Joker) dipilih secara acak      gulungan 2 hingga 5 oleh "Simbol Joker Besar". 4. Mendaratkan "Simbol Joker Kecil",     Transformasi "Simbol Emas" menjadi      "Simbol Joker" saja. 5. "Simbol Joker" menggantikan semuanya     simbol kecuali Menyebar.	1. "Biểu tượng Joker" chỉ biến hình      từ “Biểu tượng vàng” của      sự loại bỏ. 2. “Thẻ Joker” có hai loại      chế độ: “Thẻ Joker lớn” và      “Thẻ Joker nhỏ”. 3. Đạt được "Biểu tượng Joker lớn", nó      sẽ thay thế từ 1 đến 4 số      các ký hiệu (Ngoại trừ Scatter và     Biểu tượng Joker) chọn ngẫu nhiên      cuộn 2 đến 5 của "Biểu tượng Big Joker". 4. Hạ cánh "Biểu tượng Joker nhỏ",     "Biểu tượng vàng" biến thành      Chỉ có "Biểu tượng Joker". 5. "Biểu tượng Joker" thay thế cho tất cả     các ký hiệu ngoại trừ Scatter.	1. O "Símbolo do Coringa" apenas se transforma      do "Símbolo Dourado" de      eliminação. 2. O “Joker Card” vem em dois      modos: “Big Joker Card” e      “Cartão Coringa”. 3. Acertando o "Símbolo do Big Joker", ele      substituirá 1 a 4 números de      símbolos (exceto o Scatter e     Símbolo do Coringa) escolha aleatoriamente      rolo 2 a 5 por "Big Joker Symbol". 4. Acertando o "Símbolo do Pequeno Coringa",     O "Símbolo Dourado" se transforma em      Apenas "Símbolo do Coringa". 5. O "Símbolo Joker" substitui todos     símbolos exceto Scatter.	1. "조커 심볼"만 변형됩니다.      "황금 상징"에서      제거. 2. '조커카드'는 2가지로 나뉜다      모드: "빅 조커 카드" 및      "리틀 조커 카드". 3. "빅 조커 심볼" 착륙      1~4개를 대체합니다.      기호(Scatter 및     조커 기호) 무작위로 선택      "Big Joker Symbol"의 릴 2-5. 4. "리틀 조커 심볼" 착륙,     "황금 기호"는 다음으로 변환됩니다.      "조커 심볼"만 해당됩니다. 5. "조커 심볼"은 모든 것을 대체합니다.     분산형을 제외한 기호.	1.The "Joker Symbol" ကိုသာ ပြောင်းလဲလိုက်ပါ။      "ရွှေသင်္ကေတ" မှ      နှိမ်နှင်းရေး။ 2. "Joker Card" တွင် နှစ်ပိုင်းရှိသည်။      မုဒ်များ- “Big Joker Card” နှင့်      "Little Joker Card" 3. "Big Joker Symbol" ကို ဆင်းသက်လိုက်ပါ။      နံပါတ် 1 မှ 4 ကိုအစားထိုးပါမည်။      သင်္ကေတများ (Scatter နှင့်     Joker Symbol) ကျပန်းရွေးချယ်ပါ။      "Big Joker Symbol" ဖြင့် reel 2 မှ 5 အထိ။ 4. "Little Joker Symbol" ကို ဆင်းသက်လိုက်ပါ။     "ရွှေသင်္ကေတ" အဖြစ်သို့ပြောင်းလဲသွားသည်။      "ဂျိုကာသင်္ကေတ" သာ။ 5. အားလုံးအတွက် "Joker Symbol" ကို အစားထိုးပါ။     Scatter မှလွဲ၍ သင်္ကေတများ။
L_43	Combo Multiplier	組合乘數	コンボ乗数	Multiplicador combinado	Mchanganyiko wa Kuzidisha	Combo multiplikator	ตัวคูณคอมโบ	Pengganda Kombo	Hệ số kết hợp	Multiplicador de combinação	콤보 승수	ပေါင်းစပ်ကိန်းဂဏန်း
